Level,Category,Year,Count,Change_Percent
Postgraduate by Research,Commencing,2024,9110,7.2
Postgraduate by Coursework,Commencing,2024,153007,11.3
Bachelor,Commencing,2024,262715,5.1
Sub-Bachelor,Commencing,2024,32687,8.6
Enabling Courses,Commencing,2024,8208,10.6
Non-award Courses/Microcredentials,Commencing,2024,5685,7.5
Postgraduate by Research,All Students,2024,46703,0.8
Postgraduate by Coursework,All Students,2024,311190,18.4
Bachelor,All Students,2024,764708,4.7
Sub-Bachelor,All Students,2024,46918,10.2
Enabling Courses,All Students,2024,9641,9.5
Non-award Courses/Microcredentials,All Students,2024,6218,7.2
